Ind,Site,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
SL_Baie_des_sables_5812,B14,0.0191433,1.00E-04,1.00E-04,0.96151,0.0131204,0.00602581
SL_Cacouna_5796,B14,0.000701434,1.00E-04,1.00E-04,0.957745,0.00671848,0.0346355
SL_Cap_aux_Oies_4289,B14,0.0344083,1.00E-04,1.00E-04,0.91856,0.0205734,0.0262589
SL_Grand_Metis_4284,B14,0.0291045,0.00227365,1.00E-04,0.954635,1.00E-04,0.0137867
SL_Grosse_Roche_5794,B14,0.0566458,0.145536,0.0452655,0.691492,0.0150885,0.0459723
SL_Ile-aux_Basques_5740,B14,0.0619945,1.00E-04,1.00E-04,0.920493,1.00E-04,0.0172125
SL_Island_Verte_4285,B14,0.0132223,1.00E-04,1.00E-04,0.960676,1.00E-04,0.0258016
SL_Lanse_au_Loup_4491,B13,0.172759,0.487629,0.189238,0.0599898,0.00212014,0.0882636
SL_Matane_4293,B14,0.0189007,0.0015922,0.00129371,0.962812,0.00230429,0.0130969
SL_Matane_5814,B14,0.0202589,1.00E-04,1.00E-04,0.948612,0.00686713,0.024062
SL_NA_113,B14,1.00E-04,1.00E-04,0.0183532,0.981247,1.00E-04,1.00E-04
SL_NA_114,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_49,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_50,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_51,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_53,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_54,B14,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04
SL_NA_56,B14,1.00E-04,0.00242999,1.00E-04,0.99717,1.00E-04,1.00E-04
SL_NA_57,B14,1.00E-04,0.00260126,0.00149346,0.995605,1.00E-04,1.00E-04
SL_Rimouski_5092,B14,0.0103798,0.0142378,1.00E-04,0.965151,1.00E-04,0.010031
SL_Rimouski_East_5805,B14,0.0857699,0.291071,0.0830544,0.490917,0.0294296,0.0197575
SL_Riviere_du_Loup_5813,B14,0.029304,1.00E-04,1.00E-04,0.922939,0.00194534,0.0456113
SL_Saint_Ulric_4281,B14,0.0377062,1.00E-04,0.00569792,0.949414,0.000375166,0.00670718
SL_Saint_Ulric_4495,B14,0.0290211,1.00E-04,0.00340632,0.959401,1.00E-04,0.00797122
SL_Saint_Ulric_5093,B14,0.0480994,0.0313726,1.00E-04,0.883561,0.00344071,0.033426
SL_Sainte_Flavie_5810,B14,0.0240624,0.0183492,1.00E-04,0.892079,0.0335171,0.0318922
UB_Cap_Qalirusiq_2306,B15,0.172166,0.565779,0.0907445,0.0764871,0.0347794,0.060043
UB_Leaf_Bay_2304,B15,0.239654,0.473104,0.0897222,0.079918,0.0531289,0.064473
UB_Leaf_Bay_2305,B15,0.246187,0.492486,0.10658,0.0527983,0.012764,0.089185
WHB_Arviat_10,B16,0.055308,0.798224,0.0371327,0.0215505,0.0727723,0.0150124
WHB_Arviat_11,B16,0.0788289,0.76897,0.0861982,0.0240297,0.0412206,0.000752851
WHB_Arviat_16,B16,0.133383,0.658118,0.145395,0.0291099,1.00E-04,0.0338945
WHB_Arviat_17,B16,0.0970307,0.710513,0.128636,0.0187878,0.044933,1.00E-04
WHB_Arviat_18,B16,0.145335,0.692862,0.145558,0.00940959,1.00E-04,0.00673568
WHB_Arviat_19,B16,0.10755,0.716091,0.155878,0.00664076,0.00860938,0.00523056
WHB_Arviat_20,B16,0.0657315,0.883648,0.0339715,0.00772496,0.00882374,1.00E-04
WHB_Arviat_21,B16,0.0930074,0.623249,0.229029,0.0205289,0.00247433,0.031711
WHB_Arviat_22,B16,0.12156,0.691383,0.152144,0.0167105,1.00E-04,0.0181023
WHB_Arviat_23,B16,0.0643448,0.799943,0.0979874,0.0148723,0.014985,0.00786715
WHB_Arviat_24,B16,0.133294,0.64808,0.0399442,0.0369921,0.0211751,0.120515
WHB_Arviat_40,B16,0.0552506,0.862452,0.0346309,0.0155848,0.0026136,0.029468
WHB_Arviat_41,B16,0.0399234,0.873692,0.0597267,0.0228392,0.00371863,1.00E-04
WHB_Arviat_97,B16,0.0818674,0.722686,0.163717,0.0315299,1.00E-04,1.00E-04
WHB_Arviat_98,B16,0.0982439,0.767396,0.112763,0.00751721,1.00E-04,0.0139803
